1.
2	{[STOP][文件无法打开]"^0"是应用程序不支持的文件格式。[OK]}













74.
1	{MIDI 输出,MIDI 输出设备,MIDI 输出设备}

10	{CC ^0⎜CC ^0⎜C^0}
11	{CC ^0 (^1)}
15	{调制轮}
16	{呼吸}
17	{音量}
18	{声像}
19	{表情}
20	{延音踏板}
21	{共振}
22	{释放}
23	{起音}
24	{截止频率}
25	{混响}
26	{合唱}
40	{弯音⎜Bend⎜Bnd}
41	{触后⎜After⎜Aft}
42	{程序切换 On/Off⎜PChgO⎜ChO}
43	{程序切换⎜PChange⎜Chg}
44	{MIDI通道⎜MChan⎜Cha}
45	{可分配旋钮 On/Off⎜AssOn⎜AsO}
46	{可分配旋钮 On/Off 2⎜AssOn2⎜As2}
47	{可分配旋钮 On/Off 3⎜AssOn3⎜As3}
48	{可分配旋钮 On/Off 4⎜AssOn4⎜As4}
49	{可分配旋钮 On/Off 5⎜AssOn5⎜As5}
50	{可分配旋钮 On/Off 6⎜AssOn6⎜As6}
51	{可分配旋钮 On/Off 7⎜AssOn7⎜As7}
52	{可分配旋钮 On/Off 8⎜AssOn8⎜As8}
53	{CC 分配⎜CCAss⎜CAs}
54	{CC 分配 2⎜CCAs2⎜CA2}
55	{CC 分配 3⎜CCAs3⎜CA3}
56	{CC 分配 4⎜CCAs4⎜CA4}
57	{CC 分配 5⎜CCAs5⎜CA5}
58	{CC 分配 6⎜CCAs6⎜CA6}
59	{CC 分配 7⎜CCAs7⎜CA7}
60	{CC 分配 8⎜CCAs8⎜CA8}
61	{音符开⎜Note On⎜Not}
62	{控制器活动⎜CtrlAct⎜Act}
63	{CV 比例 1⎜CVSc1⎜CS1}
64	{CV 比例 2⎜CVSc2⎜CS2}
65	{CV 比例 3⎜CVSc3⎜CS3}
66	{CV 比例 4⎜CVSc4⎜CS4}
67	{CV 比例 5⎜CVSc5⎜CS5}
68	{CV 比例 6⎜CVSc6⎜CS6}
69	{CV 比例 7⎜CVSc7⎜CS7}
70	{CV 比例 8⎜CVSc8⎜CS8}
71	{CC 输出 1⎜CCO1⎜CO1}
72	{CC 输出 2⎜CCO2⎜CO2}
73	{CC 输出 3⎜CCO3⎜CO3}
74	{CC 输出 4⎜CCO4⎜CO4}
75	{CC 输出 5⎜CCO5⎜CO5}
76	{CC 输出 6⎜CCO6⎜CO6}
77	{CC 输出 7⎜CCO7⎜CO7}
78	{CC 输出 8⎜CCO8⎜CO8}
79	{CV 输入 1⎜CVI1⎜CI1}
80	{CV 输入 2⎜CVI2⎜CI2}
81	{CV 输入 3⎜CVI3⎜CI3}
82	{CV 输入 4⎜CVI4⎜CI4}
83	{CV 输入 5⎜CVI5⎜CI5}
84	{CV 输入 6⎜CVI6⎜CI6}
85	{CV 输入 7⎜CVI7⎜CI7}
86	{CV 输入 8⎜CVI8⎜CI8}
87	{CV 输入对 1-2⎜CP12⎜C12}
88	{CV 输入对 3-4⎜CP34⎜C34}
89	{CV 输入对 5-6⎜CP56⎜C56}
90	{CV 输入对 7-8⎜CP78⎜C78}
91	{MIDI 静音⎜MiMu⎜MMu}
92	{MIDI 紧急⎜MiPa⎜MPa}
93	{CV 面板编号⎜CVPa⎜CPa}
94	{CV 输入启用⎜CVEn⎜CEn}


99	{MIDI CC ^0–^1}

100	{<MIDI端口未选择>}
101	{⚠^0 [offline]}
102	{无可用MIDI端口}
103	{^0 ^1}

104	{—}
105	{—}
106	{—}
107	{—}
108	{—}
109	{—}
110	{—}
111	{—}
112	{—}
113	{可分配旋钮: 关}
114	{可分配旋钮: 关}
115	{可分配旋钮: 关}
116	{可分配旋钮: 关}
117	{可分配旋钮: 关}
118	{可分配旋钮: 关}
119	{可分配旋钮: 关}
120	{可分配旋钮: 关}
121	{上一个MIDI程序⎜PrevP⎜Pre}
122	{下一个MIDI程序⎜NextP⎜Nxt}
123	{上一个MIDI通道⎜PrevC⎜Pre}
124	{下一个MIDI通道⎜NextC⎜Nxt}

150	{MIDI端口更改}

1200	{输入}
1201	{来自FX}


1400	{门CV输入}
1401	{音高CV输入}
1402	{调制轮CV输入}
1403	{弯音CV输入}
1404	{可分配CC CV输入 1}
1405	{可分配CC CV输入 2}
1406	{可分配CC CV输入 3}
1407	{可分配CC CV输入 4}
1408	{可分配CC CV输入 5}
1409	{可分配CC CV输入 6}
1410	{可分配CC CV输入 7}
1411	{可分配CC CV输入 8}

1800	{到FX}












75.
300 {音符开 指示灯}
301 {CV输入指示灯}
302 {参数自动化 指示灯}
303 {输入音频 仪表}
304 {输出音频 仪表}
305 {电源按钮}
306 {CV路由 插座 源}
307 {CV路由 参数}
308 {CV路由 反映量}
309 {CV路由 基准值}
310 {CV路由 插座 索引}
311 {CV路由 参数名}
312 {CV路由 重置}
313 {学习}
314 {程序设置}
315 {无参数}
316 {音色变更}
317 {组}
318 {性能}
319 {未知}
320 {显示插件窗口}


400 {保持打开}
401 {自动化}
402 {远程}
403 {截图}
404 {点击参数.}

1000    {无效}


1200    {输入}


1400    {门输入 单声道}
1401    {CV输入 单声道}
1402    {弯音轮 调制输入}
1403    {调制轮 调制输入}
1404    {调制器 1}
1405    {调制器 2}
1406    {调制器 3}
1407    {调制器 4}
1408    {调制器 5}
1409    {调制器 6}
1410    {调制器 7}
1411    {调制器 8}


1600    {无效}











76.
1	{[STOP][Device Error]设备 ‘^0’ (^1) 发生错误，因此已禁用该设备。文档可以保存。[OK]}
2	{[STOP][Debug Info]^0[OK]}
3	{MIDI输入}










100.
124 DIALOGEX 0, 0, 285, 328
STYLE DS_SETFONT | WS_CHILD
CAPTION ""
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "", 18, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 130, 129, 30 
   CONTROL "输入:", 17, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 132, 59, 8 
   CONTROL "", 4, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 32, 129, 30 
   CONTROL "总线 A:", 3, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 35, 55, 8 
   CONTROL "", 7, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 46, 129, 30 
   CONTROL "总线 B:", 6, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 49, 55, 8 
   CONTROL "", 10, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 60, 129, 30 
   CONTROL "总线 C:", 9, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 63, 55, 8 
   CONTROL "", 13, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 74, 129, 30 
   CONTROL "总线 D:", 12, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 77, 55, 8 
   CONTROL "", 19, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 131, 10, 10 
   CONTROL "", 5, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 33, 10, 10 
   CONTROL "", 8, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 47, 10, 10 
   CONTROL "", 11, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 61, 10, 10 
   CONTROL "", 14, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 75, 10, 10 
   CONTROL "MIDI 时钟同步", 15, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 5, 95, 273, 171 
   CONTROL "外部控制", 1, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 5, 1, 274, 89 
   CONTROL "这些输入仅在您想从外部音序器或其他程序播放 ^0 设备时使用。", 2, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 11, 11, 263, 18 
   CONTROL "MIDI 时钟输入用于将 ^0 与其他设备同步。MIDI 时钟输出用于将其他设备与 ^0 同步。", 16, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 11, 106, 266, 19 
   CONTROL "输入偏移: ^0 毫秒", 20, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 77, 147, 148, 8 
   CONTROL "", 21, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 236, 144, 9, 15 
   CONTROL "输出:", 22, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 38, 165, 59, 8 
   CONTROL "", 23, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 102, 163, 129, 30 
   CONTROL "", 24, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 234, 164, 10, 10 
   CONTROL "输出偏移: ^0 毫秒", 25, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 78, 180, 147, 8 
   CONTROL "", 26, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 236, 177, 9, 15 
   CONTROL "由于当前音频设备缓冲区大小，低于 ^0\xA0毫秒 的偏移将不会产生任何效果。如果您需要更低的偏移，请尝试在音频页面增加缓冲区大小。", 27, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 9, 193, 266, 27 
   CONTROL "在音序器停止时发送 MIDI 时钟", 28, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 224, 259, 10 
   CONTROL "发送歌曲位置指针", 29, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 236, 257, 10 
   CONTROL "重新定位时发送停止/继续", 30, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 248, 257, 10 
}

















101.
128 DIALOGEX 0, 0, 303, 385
STYLE DS_SETFONT | DS_MODALFRAME | WS_MAXIMIZEBOX | WS_MINIMIZEBOX | WS_POPUP | WS_CAPTION | WS_SYSMENU
CAPTION "偏好设置"
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "Help", 2, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 247, 420, 50, 14 
   CONTROL "", 1, "SysTabControl32", TCS_TABS | WS_CHILD | WS_VISIBLE, 7, 4, 290, 417 
}














102.
129 DIALOGEX 0, 0, 165, 63
STYLE DS_SETFONT | DS_MODALFRAME | WS_POPUP | WS_CAPTION
CAPTION "导出音频设置"
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "确定", 7, BUTTON, BS_DEFPUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 109, 7, 50, 14 
   CONTROL "取消", 6, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 109, 24, 50, 14 
   CONTROL "采样率:", 1, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 5, 10, 44, 11 
   CONTROL "位深:", 3, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 15, 27, 32, 12 
   CONTROL "", 2, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL | WS_TABSTOP, 52, 8, 52, 30 
   CONTROL "", 4, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL | WS_TABSTOP, 52, 25, 52, 30 
   CONTROL "帮助", 8, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 109, 41, 50, 14 
   CONTROL "抖动", 5, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 12, 43, 35, 10 
}















103.
132 DIALOGEX 0, 0, 285, 401
STYLE DS_SETFONT | WS_CHILD
CAPTION ""
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "", 8, COMBOBOX, CBS_DROPDOWNLIST | CBS_SORT | WS_CHILD | WS_VISIBLE, 91, 46, 167, 12 
   CONTROL "滑块1", 2, "msctls_trackbar32", TBS_HORZ | TBS_BOTH | TBS_NOTICKS | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 16, 164, 16 
   CONTROL "440 Hz", 3, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 182, 19, 25, 8 
   CONTROL "微调按钮1", 6, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 263, 16, 9, 15 
   CONTROL "音分", 5, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 236, 19, 23, 8 
   CONTROL "-1", 4, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 213, 19, 21, 8 
   CONTROL "主调音", 1, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 7, 5, 271, 30 
   CONTROL "", 10, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 7, 36, 271, 179 
   CONTROL "在后台播放", 40, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 387, 263, 10 
   CONTROL "", 9, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 263, 48, 10, 10 
   CONTROL "音频卡驱动程序:", 7, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 12, 48, 73, 8 
   CONTROL "采样率:", 11, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 66, 105, 8 
   CONTROL "", 12, COMBOBOX, CBS_DROPDOWNLIST | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 202, 64, 70, 12 
   CONTROL "^0 毫秒", 18, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 200, 108, 52, 8 
   CONTROL "输入延迟:", 17, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 108, 175, 8 
   CONTROL "^0 毫秒", 22, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 200, 136, 52, 8 
   CONTROL "录音延迟补偿:", 21, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 136, 175, 8 
   CONTROL "微调按钮1", 23, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 263, 133, 9, 15 
   CONTROL "^0 个，共 ^1 个", 28, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 130, 170, 68, 8 
   CONTROL "活动输出通道:", 27, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 170, 107, 8 
   CONTROL "通道…", 29, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 200, 167, 72, 14 
   CONTROL "时钟源:", 30, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 185, 175, 8 
   CONTROL "", 31, COMBOBOX, CBS_DROPDOWNLIST | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL, 200, 183, 72, 13 
   CONTROL "控制面板…", 32, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 93, 197, 85, 14 
   CONTROL "缓冲区大小:", 13, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 78, 130, 8 
   CONTROL "滑块1", 14, "msctls_trackbar32", TBS_HORZ | TBS_BOTH | TBS_NOTICKS | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 89, 175, 16 
   CONTROL "^0 个样本", 15, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 193, 93, 59, 8 
   CONTROL "微调按钮1", 16, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 263, 89, 9, 15 
   CONTROL "^0 个，共 ^1 个", 25, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 130, 154, 68, 8 
   CONTROL "活动输入通道:", 24, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 154, 107, 8 
   CONTROL "通道…", 26, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 200, 152, 72, 14 
   CONTROL "输出延迟:", 19, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 14, 122, 175, 8 
   CONTROL "^0 毫秒", 20, STATIC, SS_RIGHT | WS_CHILD | WS_VISIBLE | WS_GROUP, 200, 122, 52, 8 
   CONTROL "监听", 33, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 7, 307, 271, 77 
   CONTROL "自动", 34, BUTTON, BS_RADIOBUTTON | WS_CHILD | WS_VISIBLE, 14, 319, 259, 8 
   CONTROL "外部", 38, BUTTON, BS_RADIOBUTTON | WS_CHILD | WS_VISIBLE, 14, 361, 259, 8 
   CONTROL "(在录音和停止模式下监听已启用的录音轨道)", 35, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 23, 328, 251, 8 
   CONTROL "(不通过 ^0 监听 – 使用外部混音器)", 39, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 23, 370, 252, 8 
   CONTROL "手动", 36, BUTTON, BS_RADIOBUTTON | WS_CHILD | WS_VISIBLE, 14, 340, 259, 8 
   CONTROL "(使用监听按钮激活监听)", 37, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 23, 349, 252, 8 
   CONTROL "性能", 41, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 7, 218, 271, 82 
   CONTROL "使用音频卡缓冲区大小设置渲染音频", 46, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 14, 275, 261, 10 
   CONTROL "(提高插件性能)", 47, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 24, 286, 248, 8 
   CONTROL "", 43, COMBOBOX, CBS_DROPDOWNLIST | CBS_SORT | WS_CHILD | WS_VISIBLE, 87, 232, 89, 12 
   CONTROL "最大音频线程数:", 42, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 15, 234, 67, 8 
   CONTROL "使用更多线程以获得更多处理能力。使用较少线程为其他应用程序或多核VST留出空间。", 44, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 15, 246, 248, 17 
   CONTROL "超线程 (HT) 提供的处理能力提升较小。", 45, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 15, 263, 248, 10 
}














104.
134 DIALOGEX 0, 0, 285, 386
STYLE DS_SETFONT | WS_CHILD
CAPTION ""
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "暂存盘文件夹", 30, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 5, 267, 274, 97 
   CONTROL "暂存盘是 ^0 存储分析数据和新未保存歌曲的地方。通常，这些数据会保存在您主目录中的系统临时文件夹中——如果您有额外的硬盘驱动器并希望用于音频录制，请更改此设置。", 35, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 11, 317, 263, 33 
   CONTROL "[my scratch disk folder path]", 33, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 11, 277, 263, 16 
   CONTROL "更改…", 31, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 12, 298, 50, 14 
   CONTROL "您需要重新启动程序以使更改生效。", 36, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 11, 351, 263, 8 
   CONTROL "重置", 32, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 65, 298, 50, 14 
   CONTROL "VST 插件文件夹", 40, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 5, 5, 274, 123 
   CONTROL "自定义1", 41, "", WS_CHILD | WS_VISIBLE | WS_TABSTOP, 11, 16, 262, 73 
   CONTROL "添加", 42, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 12, 92, 50, 14 
   CONTROL "移除", 43, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 65, 92, 50, 14 
   CONTROL "这些是 ^0 在启动时扫描 VST 插件的文件夹。如果您的插件位于自定义文件夹中，请将它们添加到此列表中，^0 将会找到它们。", 44, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 13, 108, 263, 16 
   CONTROL "不要索引这些文件夹", 50, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 5, 132, 274, 131 
   CONTROL "自定义1", 51, "", WS_CHILD | WS_VISIBLE | WS_TABSTOP, 11, 143, 262, 73 
   CONTROL "添加", 52, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 12, 219, 50, 14 
   CONTROL "移除", 53, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 65, 219, 50, 14 
   CONTROL "如果您有云存储中的用户位置文件夹（例如 Dropbox，按需同步到磁盘），您可以将它们添加到此列表中，以避免非常长的索引时间和从云端进行不必要的下载。", 54, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 13, 237, 263, 26 
}














105.
135 DIALOGEX 0, 0, 285, 386
STYLE DS_SETFONT | WS_CHILD
CAPTION ""
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "", 1, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 9, 42, 168, 8 
   CONTROL "", 2, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 9, 58, 267, 111 
   CONTROL "手动添加", 3, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 198, 33, 76, 14 
   CONTROL "编辑", 4, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 9, 172, 50, 14 
   CONTROL "删除", 5, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 63, 172, 50, 14 
   CONTROL "设为主键盘", 6, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 186, 172, 90, 14 
   CONTROL "自动检测设备", 7, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 198, 16, 76, 14 
   CONTROL "使用自动检测或添加来添加 ^0 内置远程支持的 MIDI 键盘或控制器。这允许完全控制参数、传输等。", 8, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 10, 18, 186, 33 
   CONTROL "信息", 9, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 225, 357, 50, 10 
   CONTROL "控制器界面错误！按“信息”查看报告。", 10, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 32, 357, 164, 8 
   CONTROL "主键盘输入", 11, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 10, 295, 265, 59 
   CONTROL "标准", 12, BUTTON, BS_RADIOBUTTON | WS_CHILD | WS_VISIBLE, 21, 306, 248, 10 
   CONTROL "分离", 13, BUTTON, BS_RADIOBUTTON | WS_CHILD | WS_VISIBLE, 21, 330, 249, 10 
   CONTROL "(主键盘输入到选定轨道)", 14, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 31, 317, 239, 8 
   CONTROL "(独立选择和主键盘输入)", 15, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 31, 341, 237, 8 
   CONTROL "自定义1", 16, "", WS_CHILD | WS_VISIBLE | WS_TABSTOP, 10, 230, 266, 61 
   CONTROL "远程键盘和控制器界面", 17, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 8, 5, 268, 51 
   CONTROL "简易 MIDI 输入", 18, BUTTON, BS_GROUPBOX | WS_CHILD | WS_VISIBLE, 8, 192, 268, 36 
   CONTROL "下面列出了所有未被远程使用的 MIDI 输入端口。使用这些端口进行简单的演奏、录音和基本参数调整 - 无需设置。", 19, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 10, 205, 265, 24 
}














106.
136 DIALOGEX 0, 0, 267, 68
STYLE DS_SETFONT | WS_CHILD
CAPTION ""
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "", 1, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 4, 4, 66, 60 
   CONTROL "^0", 4, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 78, 30, 188, 9 
   CONTROL "与 ^0 一起使用", 5, BUTTON, BS_CHECKBOX | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 78, 48, 108, 12 
   CONTROL "\"^0\"", 2, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 78, 6, 186, 9 
   CONTROL "型号: ^0 ^1", 3, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 78, 18, 187, 9 
   CONTROL "", 6, BUTTON, BS_PUSHBUTTON | WS_CHILD | WS_VISIBLE | WS_TABSTOP, 191, 47, 15, 14 
}












107.
137 DIALOGEX 0, 0, 270, 237
STYLE DS_SETFONT | DS_MODALFRAME | WS_POPUP | WS_CAPTION | WS_SYSMENU
CAPTION "控制器锁定"
LANGUAGE LANG_NEUTRAL, SUBLANG_NEUTRAL
FONT 9, "Segoe UI", FW_NORMAL, FALSE, 0
{
   CONTROL "", 4, STATIC, SS_BLACKFRAME | WS_CHILD | WS_VISIBLE, 6, 43, 66, 60 
   CONTROL "消息文本在此处\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11", 6, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 90, 43, 174, 109 
   CONTROL "", 3, "msctls_updown32", UDS_ARROWKEYS | WS_CHILD | WS_VISIBLE, 253, 6, 11, 15 
   CONTROL "", 2, COMBOBOX, CBS_DROPDOWN | CBS_SORT | WS_CHILD | WS_VISIBLE | WS_VSCROLL | WS_TABSTOP, 90, 6, 162, 125 
   CONTROL "控制器:", 1, STATIC, SS_LEFT | WS_CHILD | WS_VISIBLE | WS_GROUP, 6, 8, 45, 11 
